L,1/L,Delta,Ground-State Energy
4,0.25,0,-0.35355339059327556
6,0.16666666666666666,0,-0.3333333333333357
8,0.125,0,-0.3266407412190958
10,0.1,0,-0.32360679774997947
12,0.08333333333333333,0,-0.3219752754296898
14,0.07142857142857142,0,-0.3209970862453524
4,0.25,1,-0.5000000000000092
6,0.16666666666666666,1,-0.4671292729553331
8,0.125,1,-0.45638667611714706
10,0.1,1,-0.4515446354492047
12,0.08333333333333333,1,-0.4489492431204328
14,0.07142857142857142,1,-0.4473963952533598
