Mz,Energy
-3.0,1.5
-2.0,-0.5
-2.0,-1.2212453270876722e-15
-2.0,4.440892098500626e-16
-2.0,0.9999999999999993
-2.0,0.9999999999999996
-2.0,1.4999999999999976
-1.0,-2.1180339887498962
-1.0,-1.2807764064044183
-1.0,-1.280776406404415
-1.0,-0.9999999999999994
-1.0,-0.9999999999999957
-1.0,-0.5000000000000009
-1.0,9.649269357991964e-16
-1.0,1.7617023148233742e-15
-1.0,0.11803398874989823
-1.0,0.4999999999999989
-1.0,0.7807764064044143
-1.0,0.7807764064044148
-1.0,0.9999999999999994
-1.0,0.9999999999999999
-1.0,1.5
0.0,-2.8027756377319903
0.0,-2.118033988749889
0.0,-1.4999999999999996
0.0,-1.280776406404416
0.0,-1.280776406404413
0.0,-1.0000000000000018
0.0,-1.0
0.0,-0.5000000000000012
0.0,-0.5000000000000006
0.0,-0.4999999999999997
0.0,-1.3329174998673385e-16
0.0,6.58889931804752e-16
0.0,0.11803398874989401
0.0,0.5000000000000011
0.0,0.7807764064044143
0.0,0.7807764064044165
0.0,0.8027756377319962
0.0,1.0000000000000002
0.0,1.0000000000000007
0.0,1.4999999999999998
1.0,-2.1180339887498953
1.0,-1.2807764064044185
1.0,-1.2807764064044143
1.0,-0.9999999999999994
1.0,-0.9999999999999977
1.0,-0.4999999999999978
1.0,-6.866644559697007e-16
1.0,1.0577748201092637e-15
1.0,0.11803398874989757
1.0,0.4999999999999998
1.0,0.7807764064044143
1.0,0.780776406404415
1.0,0.9999999999999993
1.0,1.0000000000000007
1.0,1.5000000000000002
2.0,-0.5
2.0,-1.2212453270876722e-15
2.0,4.440892098500626e-16
2.0,0.9999999999999993
2.0,0.9999999999999996
2.0,1.4999999999999976
3.0,1.5
